title,url,page_signal_score,purpose_hits,impact_hits,leadership_purpose_co_mentions,strategy_hits,capital_hits,employee_hits,execution_hits,capability_hits,industry_hits,source_file
2017_10K_2017-11-03_full_submission,,2.8,0,1,0,0,0,0,0,0,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\10Ks\edgar\AAPL\2017_10K_2017-11-03_full_submission.txt
2018_10K_2018-11-05_full_submission,,2.8,0,1,0,0,0,0,0,0,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\10Ks\edgar\AAPL\2018_10K_2018-11-05_full_submission.txt
2020_10K_2020-10-30_full_submission,,2.8,0,1,0,0,0,0,0,0,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\10Ks\edgar\AAPL\2020_10K_2020-10-30_full_submission.txt
2021_10K_2021-10-29_full_submission,,2.8,0,1,0,0,0,0,0,0,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\10Ks\edgar\AAPL\2021_10K_2021-10-29_full_submission.txt
2022_10K_2022-10-28_full_submission,,2.8,0,1,0,0,0,0,0,0,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\10Ks\edgar\AAPL\2022_10K_2022-10-28_full_submission.txt
2023_10K_2023-11-03_full_submission,,2.8,0,1,0,0,0,0,0,0,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\10Ks\edgar\AAPL\2023_10K_2023-11-03_full_submission.txt
2024_10K_2024-11-01_full_submission,,2.8,0,1,0,0,0,0,0,1,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\10Ks\edgar\AAPL\2024_10K_2024-11-01_full_submission.txt
2025_10K_2025-10-31_full_submission,,2.8,0,1,0,0,0,0,0,1,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\10Ks\edgar\AAPL\2025_10K_2025-10-31_full_submission.txt
Ethics and Compliance - Apple,https://www.apple.com/compliance,2.0,0,0,0,0,0,0,0,2,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Apple Arcade - Apple,https://www.apple.com/apple-arcade,2.0,0,0,0,0,0,0,0,2,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Apple Books - Apple,https://www.apple.com/apple-books,2.0,0,0,0,0,0,0,0,0,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
iPad - Apple,https://www.apple.com/ipad,2.0,0,0,0,0,0,0,0,3,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Recycler Guides - Apple,https://www.apple.com/recycling/recycler-guides,2.0,0,0,0,0,0,0,0,2,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Certified Refurbished Products - Apple,https://www.apple.com/us/shop/goto/special_deals,1.5,0,3,0,0,0,0,0,8,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Apple Leadership - Craig Federighi - Apple,https://www.apple.com/leadership/craig-federighi,1.5,0,1,0,0,0,0,0,5,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Work at Apple: Teams and Opportunities - Careers at Apple,https://www.apple.com/careers/us/work-at-apple.html,1.2,0,0,0,0,0,1,0,1,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Apple Leadership - Steve Lemay - Apple,https://www.apple.com/leadership/steve-lemay,0.7,0,0,0,0,0,0,0,4,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
