title,url,page_signal_score,purpose_hits,impact_hits,leadership_purpose_co_mentions,strategy_hits,capital_hits,employee_hits,execution_hits,capability_hits,industry_hits,source_file
Business Collaboration Solutions - Cisco,https://www.cisco.com/c/en/us/solutions/collaboration/index.html,9.0,0,6,0,1,0,4,1,10,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Cisco\pages.csv
AI Application Security - Cisco,https://www.cisco.com/site/us/en/learn/topics/artificial-intelligence/ai-application-security.html,8.4,0,7,0,0,1,3,0,4,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Cisco\pages.csv
Cisco Smart Building Solutions - Cisco,https://www.cisco.com/site/us/en/solutions/smart-building/index.html,8.3,0,3,0,2,3,6,1,13,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Cisco\pages.csv
Cisco SD-WAN Routers and WAN Appliances - Cisco,https://www.cisco.com/site/us/en/products/networking/sdwan-routers/index.html,8.2,0,27,0,3,2,0,2,49,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Cisco\pages.csv
Cisco Financial Services Solutions - Cisco,https://www.cisco.com/site/us/en/solutions/industries/financial-services/index.html,8.0,0,9,0,0,2,0,0,24,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Cisco\pages.csv
2020_10K_2020-09-03_full_submission,,8.0,0,5,0,0,7,28,0,50,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\10Ks\edgar\CSCO\2020_10K_2020-09-03_full_submission.txt
Careers at Cisco,https://www.cisco.com/c/en/us/about/careers.html,7.9,0,5,0,0,0,3,1,6,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Cisco\pages.csv
Strategic Investments in Data Centers for the AI Era - Cisco,https://www.cisco.com/site/us/en/about/why-cisco/ai-ready-data-centers/idc-spotlight.html,7.9,0,5,0,1,2,0,0,4,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Cisco\pages.csv
"Cisco Products: Networking, Security, Data Center - Cisco",https://www.cisco.com/c/en/us/products/index.html,7.6,0,28,0,0,4,1,1,105,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Cisco\pages.csv
Cisco Nexus Hyperfabric - Cloud-Managed Networking for Data Centers - Cisco,https://www.cisco.com/site/us/en/products/networking/data-center-networking/nexus-hyperfabric/index.html,7.6,0,7,0,1,0,0,4,18,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Cisco\pages.csv
Cisco Manufacturing: Digital Manufacturing Solutions - Cisco,https://www.cisco.com/site/us/en/solutions/industries/manufacturing/index.html,7.6,0,7,0,0,0,0,2,19,2,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Cisco\pages.csv
What Is a Firewall? - Cisco,https://www.cisco.com/site/us/en/learn/topics/security/what-is-a-firewall.html,7.6,0,15,0,1,0,0,2,44,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Cisco\pages.csv
How to Set Up a Router - Step-by-Step - Cisco,https://www.cisco.com/c/en/us/solutions/small-business/resource-center/networking/how-to-set-up-router.html,7.5,0,5,1,0,0,0,3,19,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Cisco\pages.csv
